F3,F3_pos,FC5,FC5_pos,AF3,AF3_pos,F7,F7_pos,T7,T7_pos,P7,P7_pos,O1,O1_pos,O2,O2_pos,P8,P8_pos,T8,T8_pos,F8,F8_pos,AF4,AF4_pos,FC6,FC6_pos,F4,F4_pos,Direction
22.39,7,93.33,9,14.39,7,36.83,44,35.39,18,6.33,33,14.94,10,61.28,34,35.67,35,54.83,22,38.78,22,-31.33,46,35.72,21,16.17,30,forward
17.94,11,-7.61,0,34.72,10,-5.33,0,74.39,45,7.17,7,43.50,46,68.06,46,56.61,44,27.72,28,59.39,45,37.56,18,55.17,44,22.83,11,stop
11.17,37,-6.78,34,34.33,37,94.72,20,31.39,37,1.06,37,5.56,18,16.17,43,28.44,42,-39.11,0,26.17,33,47.94,37,40.22,35,6.89,37,forward
13.28,24,58.22,25,35.06,39,55.89,45,-4.00,9,22.78,26,14.56,45,9.44,45,28.83,44,37.94,45,37.94,43,41.11,45,20.28,45,-0.94,39,right
73.83,40,41.50,4,82.50,40,269.94,46,18.61,12,164.72,38,35.50,39,45.72,22,28.94,22,32.72,25,55.06,40,75.00,40,41.06,39,33.67,39,forward
17.78,8,43.06,8,12.39,8,-2.00,9,62.56,43,58.06,46,30.39,34,10.83,0,18.78,46,21.56,46,-10.44,45,37.56,46,17.72,45,16.94,44,stop
1.78,9,14.89,12,0.94,37,19.72,46,15.22,11,25.00,36,11.94,28,19.33,9,16.72,9,11.17,9,14.44,32,14.50,46,15.11,10,5.56,20,stop
33.39,22,139.39,23,42.11,23,38.39,46,16.11,1,97.44,44,2.22,6,5.06,7,17.11,1,17.78,23,38.00,22,9.78,1,29.67,23,33.89,23,right
0.17,21,69.83,31,-27.94,2,-3.61,6,54.72,40,63.17,46,23.06,34,35.50,36,43.39,35,21.67,8,-9.89,3,-15.50,2,19.17,3,-1.00,2,left
22.89,7,45.72,11,49.94,27,40.83,9,9.78,2,-11.83,2,13.67,2,20.00,24,36.61,23,58.00,24,70.72,44,39.50,23,52.06,44,41.22,45,left
35.39,31,63.89,46,65.28,46,28.11,31,-0.33,5,35.78,46,44.44,31,46.50,9,39.50,8,52.39,31,84.06,31,66.83,31,51.67,31,58.83,31,forward
57.22,14,6.67,1,40.39,28,21.00,1,-13.72,45,-5.50,2,22.50,17,18.50,30,10.06,21,29.22,30,30.67,13,40.17,15,31.22,21,23.17,14,stop
7.56,17,30.28,36,13.56,36,-3.33,37,25.00,27,-8.94,0,11.33,14,-1.22,0,4.50,5,25.78,35,43.39,35,59.78,36,39.61,17,48.22,36,left
-5.33,16,31.33,38,76.83,38,60.61,38,18.44,38,36.67,32,39.83,28,52.94,38,50.50,39,50.89,39,292.39,38,5185.61,34,54.17,38,50.78,38,left
24.33,9,18.72,39,10.06,11,161.06,44,28.61,36,38.11,39,24.72,9,20.78,8,9.78,3,25.72,8,15.33,8,11.11,11,17.50,11,28.83,11,forward
-2.44,0,13.28,0,24.06,11,7.39,0,10.33,0,21.22,11,9.61,11,29.94,12,25.28,11,52.33,12,53.06,12,34.28,12,18.67,13,14.89,12,right
26.56,15,26.33,0,45.00,0,59.44,44,4.89,6,82.83,39,54.94,19,61.17,18,59.22,19,55.89,19,95.39,6,77.33,0,49.83,1,37.06,0,left
36.33,35,37.83,36,55.61,36,78.83,40,14.22,39,-10.28,9,54.72,35,53.17,35,63.78,35,61.33,26,177.83,45,54.06,33,71.00,35,71.00,35,forward
35.78,16,35.61,16,84.61,16,62.28,32,32.33,28,194.72,41,31.83,1,26.06,30,2.89,30,8.00,30,80.17,12,92.61,12,64.56,12,28.11,15,forward
24.11,29,5.44,29,15.22,33,73.56,45,29.39,20,57.06,29,47.33,29,50.11,29,37.39,21,32.56,36,65.00,32,3.06,9,16.94,32,17.78,23,right
4.11,22,13.22,2,0.78,2,9.44,0,47.22,42,12.11,0,7.56,0,14.33,0,28.89,7,8.56,8,17.89,46,5.06,0,24.44,8,19.17,11,left
21.78,3,21.72,45,33.28,45,-59.56,0,19.33,46,-12.83,0,0.50,2,5.61,0,3.50,0,2.39,44,19.50,44,27.44,39,3.67,45,29.44,2,forward
25.22,8,8.89,24,10.78,9,-23.39,1,47.33,40,67.56,46,26.61,6,25.11,7,32.67,6,11.61,10,12.39,6,26.44,10,7.89,10,13.00,22,left
15.28,32,17.17,38,36.61,39,45.50,39,12.17,0,17.11,7,4.28,46,34.11,38,27.00,2,50.11,38,55.39,38,23.56,38,31.11,38,27.33,4,stop
30.61,42,20.06,43,26.56,1,39.11,29,12.94,37,90.11,46,39.72,46,25.78,46,12.11,30,14.06,30,12.61,2,16.50,1,16.28,43,26.72,43,stop
